meshcode	osm_length	overlap_length	overlap_length_max	accuracy	accuracy_max
39272558	3272.19931547529	1992.57658711958	2027.93228044466	0.608941080604729	0.61974595216554
39272559	1900.39630971848	378.773849718621	536.502727894858	0.199313084213857	0.282310971217543
39272569	3653.25672482477	1784.16695939508	2817.25461330855	0.488377109462697	0.77116250663815
39272579	1887.1991841171	948.906879014243	1887.1991841171	0.502812255855323	1
39272589	1984.53541569613	991.823178631012	1984.53541569613	0.499776003384199	1
39272599	1908.78859060519	1419.01635615374	1908.78859060519	0.743412006514473	1
39272690	1413.95334043225	1144.78656245236	1407.9159500962	0.809635318024283	0.99573013467743
39273600	581.968021647006	111.31883556214	581.968021647006	0.191279986909076	1
39273601	724.144199572026	654.599089122726	724.144199572026	0.903962345496378	1
39273611	1141.28183991524	402.064635188966	1141.28183991524	0.352292151795585	1
39273621	135.38402084137	0	135.38402084137	0	1
39273622	1089.69449865972	97.266662513263	951.728470119491	0.0892604878091033	0.873390176136594
39273632	1368.99598261467	170.133190329195	1328.86013155665	0.124275887212068	0.970682272579525
39273642	360.009521443619	0	360.009521443619	0	1
39273643	1037.19608306957	339.172305003499	944.823504771246	0.327008856415773	0.910940101099354
39273653	1831.44859752645	1059.11728946098	1831.44859752645	0.578294848619512	1
39273663	2029.12231291845	1213.59963595876	2029.12231291845	0.5980909224803	1
39273673	1882.80000137567	940.980588652229	1882.80000137567	0.499777240261684	1
39273682	0.893229608091961	0.893229608091961	0.893229608091961	1	1
39273683	1944.97424594024	972.999999262329	1944.97424594024	0.500263693101994	1
39273692	2003.08013035862	1015.07877692542	2003.08013035862	0.506758946654661	1
39274602	752.856581036113	598.410361629907	752.856581036113	0.794853065913762	1
39274603	2636.70887846622	2398.57216166362	2636.70887846622	0.909684107051998	1
39274613	809.993067763141	415.221408877758	809.993067763141	0.512623410499579	1
39274614	1257.88498265245	618.803121160398	1257.88498265245	0.491939350333569	1
39274624	1895.24507852095	1140.14993568608	1895.24507852095	0.60158443285649	1
39274634	2183.00300036107	1108.0835009199	2183.00300036107	0.507595958748851	1
39274644	599.398591553001	448.416317370669	599.398591553001	0.748110395469655	1
39274645	1871.51876838071	1251.54147585157	1871.51876838071	0.668730389989321	1
39274655	1881.27812255092	1164.73795620885	1881.27812255092	0.619120555460204	1
39274665	2054.61417040127	840.909626784891	1958.23914897247	0.409278607584342	0.953093372557643
39274675	1916.44907291237	760.616218478212	1914.38038277553	0.396888302031594	0.998920560861191
39274685	2319.46271690795	1530.11660011586	2319.46271690795	0.65968579230092	1
39274694	1213.68204980002	622.897669363201	1213.68204980002	0.513229695920639	1
39274695	856.049502763671	412.078305761293	849.186747828396	0.481372052002763	0.991983226538746
39275604	1867.77632707009	944.390891576882	1867.77632707009	0.505623118726594	1
39275614	21.5028828139187	21.5028828139187	21.5028828139187	1	1
39275615	2241.65251473183	1109.9543665218	2241.65251473183	0.495150055250461	1
39275625	1473.88172949786	1473.88172949786	1473.88172949786	1	1
39275626	2592.45673714765	2516.36705702698	2592.45673714765	0.970649585379625	1
39275627	739.719915477326	725.84473829743	739.719915477326	0.981242661053755	1
39275637	2218.42798084184	1664.39745808701	2218.42798084184	0.750259856285899	1
39275647	1626.35352071695	1313.84944877845	1456.34388427049	0.807849850627349	0.895465755580918
39275648	798.485025721264	798.485025721264	798.485025721264	1	1
39275658	894.173023807055	894.173023807055	894.173023807055	1	1
39275659	1267.54935640904	1267.54935640904	1267.54935640904	1	1
39275741	2146.37164360005	2146.37164360005	2146.37164360005	1	1
39275742	510.950422413138	487.914430491647	509.501865193819	0.95491540683596	0.997164975003881
39275750	1312.93758757331	1312.93758757331	1312.93758757331	1	1
39275751	26.2576668349674	26.2576668349674	26.2576668349674	1	1
39275752	2262.68555296839	2262.68555296839	2262.68555296839	1	1
39275753	2539.40807023296	2539.40807023296	2539.40807023296	1	1
39275754	1237.85397630515	1135.6602519131	1237.85397630515	0.917442827386561	1
39275764	2214.10886547179	1109.46874881314	2214.10886547179	0.501090423382021	1
39275774	216.503843620201	130.112419652484	216.503843620201	0.600970483834605	1
39275775	2727.36076885521	2604.09570390896	2727.36076885521	0.954804268524406	1
39275776	919.678466906468	191.521713520441	919.678466906468	0.208248556872995	1
39275786	2497.93549400125	2073.10707779818	2497.93549400125	0.829928187808177	1
39275787	4095.44144791613	3004.13353327013	3136.64685105066	0.733531066546859	0.765887363045238
39275788	564.879805636771	564.879805636771	564.879805636771	1	1
39275798	2297.45470419862	1809.74975159433	2297.45470419862	0.787719448086176	1
39276708	1951.07553049107	1126.12787563571	1951.07553049107	0.577183126966013	1
39276718	1938.61337452506	969.213978242252	1938.61337452506	0.499952177663944	1
39276728	1862.58992002071	1820.75322591283	1862.58992002071	0.977538429872199	1
39276737	1690.74326599933	1438.51541368067	1690.74326599933	0.850818360545365	1
39276738	1183.01373663651	1183.01373663651	1183.01373663651	1	1
39276746	2793.93176890477	2089.13811287015	2571.68038167543	0.747741278481218	0.920452106346008
39276747	1064.39538357078	1052.22013879509	1064.39538357078	0.988561351389136	1
47301741	350.724374552534	350.724374552534	350.724374552534	1	1
47301742	328.974092649968	274.886440639942	328.974092649968	0.835586895082417	1
47301751	860.52871849112	860.52871849112	860.52871849112	1	1
47301752	83.6864168145968	80.7577628294129	83.6864168145968	0.96500442847646	1
47301762	1008.40851405013	1008.40851405013	1008.40851405013	1	1
47301772	1015.81595202948	735.291703074009	1015.81595202948	0.72384343010659	1
47301782	511.32329556634	392.579308836304	511.32329556634	0.767771216841362	1
