city_code	pref_name	district_name	city_name	name	drm_length	osm_length	completeness	coverage
01101	北海道	札幌市	中央区	北海道札幌市中央区	511422.061276025	491341.032000414	-20081.0292756106	0.960733039246402
01102	北海道	札幌市	北区	北海道札幌市北区	1142200.95954106	1100866.09020109	-41334.8693399706	0.963810367339433
01103	北海道	札幌市	東区	北海道札幌市東区	928440.498114136	900520.178722511	-27920.3193916252	0.969926678796306
01104	北海道	札幌市	白石区	北海道札幌市白石区	704557.123507606	653970.150251633	-50586.9732559732	0.92819900648633
01105	北海道	札幌市	豊平区	北海道札幌市豊平区	550488.529714345	528098.80199757	-22389.7277167755	0.959325788215456
01106	北海道	札幌市	南区	北海道札幌市南区	904146.635636057	1170027.76814146	265881.132505407	1.29406716561103
01107	北海道	札幌市	西区	北海道札幌市西区	649042.853194211	633054.791527028	-15988.0616671831	0.975365205927929
01108	北海道	札幌市	厚別区	北海道札幌市厚別区	456301.64976104	435127.204969725	-21174.4447913146	0.953593421378544
01109	北海道	札幌市	手稲区	北海道札幌市手稲区	607327.1129402	599612.220766354	-7714.89217384579	0.987295348248426
01110	北海道	札幌市	清田区	北海道札幌市清田区	521016.801325104	569971.208380005	48954.4070549004	1.09395726389846
01202	北海道		函館市	北海道函館市	1641668.54642323	1490434.3722723	-151234.174150934	0.90787721287732
01203	北海道		小樽市	北海道小樽市	858629.633207166	867537.272613795	8907.63940662879	1.0103730743607
01204	北海道		旭川市	北海道旭川市	2757569.9529682	3021158.49802872	263588.545060521	1.09558685870868
01205	北海道		室蘭市	北海道室蘭市	681004.647562901	793092.481126213	112087.833563311	1.16459016744492
01206	北海道		釧路市	北海道釧路市	2095352.52214549	2554466.02917773	459113.507032235	1.21910980757182
01207	北海道		帯広市	北海道帯広市	1968360.94038549	2218494.62202739	250133.681641903	1.12707656885142
01208	北海道		北見市	北海道北見市	2020391.85027674	2915527.37527285	895135.52499611	1.44304973900175
01209	北海道		夕張市	北海道夕張市	348315.923472252	784823.16787804	436507.244405788	2.25318701157098
01210	北海道		岩見沢市	北海道岩見沢市	1352082.6306266	2002761.05297183	650678.422345237	1.48124051471853
01211	北海道		網走市	北海道網走市	827524.680855363	1187175.29908999	359650.618234624	1.43460840739453
01212	北海道		留萌市	北海道留萌市	324931.451361414	441695.22279662	116763.771435206	1.35934475287399
01213	北海道		苫小牧市	北海道苫小牧市	1793567.65961358	2075552.27477315	281984.615159574	1.15721930334149
01214	北海道		稚内市	北海道稚内市	717789.938191773	752559.087682484	34769.1494907105	1.04843771025906
01215	北海道		美唄市	北海道美唄市	654085.023792336	913690.047781154	259605.023988818	1.39689584327709
01216	北海道		芦別市	北海道芦別市	557118.54248527	1063410.59121762	506292.048732354	1.90876555231545
01217	北海道		江別市	北海道江別市	1053013.48187423	1143701.18777827	90687.7059040407	1.08612104340923
01218	北海道		赤平市	北海道赤平市	217538.753284873	313706.65600556	96167.9027206874	1.44206588114842
01219	北海道		紋別市	北海道紋別市	746216.556912154	1051082.54592711	304865.989014957	1.40854706002427
01220	北海道		士別市	北海道士別市	839723.149599464	1323306.07612783	483582.926528368	1.57588188544897
01221	北海道		名寄市	北海道名寄市	827783.913138076	1448070.51156457	620286.598426494	1.7493318476596
01222	北海道		三笠市	北海道三笠市	327962.829484512	460400.707329051	132437.877844539	1.40381550018092
01223	北海道		根室市	北海道根室市	582440.675745538	641983.459345698	59542.7836001596	1.10222789006976
01224	北海道		千歳市	北海道千歳市	1176183.12707383	1353374.641579	177191.514505176	1.15064861906103
01225	北海道		滝川市	北海道滝川市	556427.026244593	619394.43760898	62967.4113643866	1.1131618257789
01226	北海道		砂川市	北海道砂川市	332867.100829645	340371.46734903	7504.36651938502	1.0225415607584
01227	北海道		歌志内市	北海道歌志内市	76871.5860251429	136970.22851392	60098.6424887767	1.78178250005952
01228	北海道		深川市	北海道深川市	730439.184453008	1068836.28824726	338397.103794249	1.46327695408442
01229	北海道		富良野市	北海道富良野市	674926.067988807	948902.19915223	273976.131163423	1.4059329432139
01230	北海道		登別市	北海道登別市	485265.378925241	608230.286221772	122964.907296531	1.25339465628933
01231	北海道		恵庭市	北海道恵庭市	752510.472437943	924458.248876309	171947.776438366	1.22849721597108
01233	北海道		伊達市	北海道伊達市	701372.867575027	901272.8365813	199899.969006273	1.28501057459899
01234	北海道		北広島市	北海道北広島市	558793.036872528	693496.410265201	134703.373392673	1.24105907455022
01235	北海道		石狩市	北海道石狩市	996180.35939104	1351228.07711127	355047.717720231	1.35640771067757
01236	北海道		北斗市	北海道北斗市	617681.752062644	569973.661055859	-47708.0910067847	0.922761173357248
01303	北海道	石狩郡	当別町	北海道石狩郡当別町	591643.681375315	948831.630355316	357187.948980001	1.60371868492031
01304	北海道	石狩郡	新篠津村	北海道石狩郡新篠津村	206287.751284281	294554.703749391	88266.9524651093	1.42787574172414
01331	北海道	松前郡	松前町	北海道松前郡松前町	161584.100142625	239871.681792443	78287.5816498174	1.48449133973811
01332	北海道	松前郡	福島町	北海道松前郡福島町	113333.750055539	168708.451205914	55374.7011503747	1.488585373182
01333	北海道	上磯郡	知内町	北海道上磯郡知内町	170892.938190285	293438.423211478	122545.485021192	1.71707917974681
01334	北海道	上磯郡	木古内町	北海道上磯郡木古内町	172948.851789284	269083.327497637	96134.475708353	1.55584595600278
01337	北海道	亀田郡	七飯町	北海道亀田郡七飯町	415107.271415553	375942.944141328	-39164.3272742248	0.905650332765792
01343	北海道	茅部郡	鹿部町	北海道茅部郡鹿部町	100622.896190629	98529.817214625	-2093.07897600412	0.979189048970664
